地区,primary_2020,middle_2020,high_2020,primary_2024,middle_2024,high_2024,primary_2025,middle_2025,high_2025,primary_2026,middle_2026,high_2026,primary_2027,middle_2027,high_2027,primary_chg_2024,primary_chg_2025,primary_chg_2026,primary_chg_2027,middle_chg_2024,middle_chg_2025,middle_chg_2026,middle_chg_2027,high_chg_2024,high_chg_2025,high_chg_2026,high_chg_2027
海兴县,19125.6,8241.8,5218.2,17051.0,9626.4,9753.6,16204.5,9499.2,9753.6,15358.0,9372.0,9753.6,13912.0,9372.0,9626.4,-10.85,-15.27,-19.7,-27.26,16.8,15.26,13.71,13.71,86.92,86.92,86.92,84.48
盐山县,49326.0,19790.0,11163.6,44332.9,24476.4,24103.2,41276.55,24849.6,24103.2,38220.2,25222.8,24103.2,33610.6,25222.8,24476.4,-10.12,-16.32,-22.52,-31.86,23.68,25.57,27.45,27.45,115.91,115.91,115.91,119.25
肃宁县,34350.6,13317.2,8641.2,33392.2,16668.6,15655.2,31392.9,17682.0,15655.2,29393.6,18695.4,15655.2,25695.8,18695.4,16668.6,-2.79,-8.61,-14.43,-25.2,25.17,32.78,40.39,40.39,81.17,81.17,81.17,92.9
南皮县,35782.2,14780.0,9507.6,32763.5,17732.8,17416.2,30779.25,18049.4,17416.2,28795.0,18366.0,17416.2,25459.0,18366.0,17732.8,-8.44,-13.98,-19.53,-28.85,19.98,22.12,24.26,24.26,83.18,83.18,83.18,86.51
吴桥县,17008.8,7686.6,5706.6,15166.1,8561.8,8676.6,14416.95,8447.0,8676.6,13667.8,8332.2,8676.6,12235.4,8332.2,8561.8,-10.83,-15.24,-19.64,-28.06,11.39,9.89,8.4,8.4,52.05,52.05,52.05,50.03
献县,67012.2,29054.8,19474.8,57319.7,33619.0,33844.8,52812.15,33393.2,33844.8,48304.6,33167.4,33844.8,41697.8,33167.4,33619.0,-14.46,-21.19,-27.92,-37.78,15.71,14.93,14.15,14.15,73.79,73.79,73.79,72.63
孟村回族自治县,23005.8,9447.0,5249.4,20496.5,11517.2,11545.8,19284.75,11488.6,11545.8,18073.0,11460.0,11545.8,16114.0,11460.0,11517.2,-10.91,-16.17,-21.44,-29.96,21.91,21.61,21.31,21.31,119.95,119.95,119.95,119.4
河北沧州经济开发区,2477.4,1966.2,3568.2,2493.6,1214.2,1165.2,2428.2,1263.2,1165.2,2362.8,1312.2,1165.2,2163.4,1312.2,1214.2,0.65,-1.99,-4.63,-12.67,-38.25,-35.75,-33.26,-33.26,-67.34,-67.34,-67.34,-65.97
沧州高新技术产业开发区,1325.4,445.6,228.0,1483.5,626.6,554.4,1454.25,698.8,554.4,1425.0,771.0,554.4,1318.0,771.0,626.6,11.93,9.72,7.51,-0.56,40.62,56.82,73.03,73.03,143.16,143.16,143.16,174.82
沧州渤海新区,11527.2,4929.4,5189.4,13839.4,5442.2,4799.4,14031.3,6085.0,4799.4,14223.2,6727.8,4799.4,13675.6,6727.8,5442.2,20.06,21.72,23.39,18.64,10.4,23.44,36.48,36.48,-7.52,-7.52,-7.52,4.87
泊头市,60380.4,27187.0,19547.4,51253.8,30462.4,31006.8,47507.1,29918.0,31006.8,43760.4,29373.6,31006.8,37982.2,29373.6,30462.4,-15.12,-21.32,-27.53,-37.1,12.05,10.05,8.04,8.04,58.62,58.62,58.62,55.84
任丘市,80387.4,30570.2,20269.8,79891.0,38702.6,35720.4,75169.5,41684.8,35720.4,70448.0,44667.0,35720.4,61916.0,44667.0,38702.6,-0.62,-6.49,-12.36,-22.98,26.6,36.36,46.11,46.11,76.22,76.22,76.22,90.94
黄骅市,42566.4,20487.2,19292.4,40263.4,21217.0,21084.6,38913.3,21349.4,21084.6,37563.2,21481.8,21084.6,34725.6,21481.8,21217.0,-5.41,-8.58,-11.75,-18.42,3.56,4.21,4.85,4.85,9.29,9.29,9.29,9.98
河间市,87490.8,36751.2,23686.8,77795.2,43591.4,43283.4,72485.4,43899.4,43283.4,67175.6,44207.4,43283.4,59203.8,44207.4,43591.4,-11.08,-17.15,-23.22,-32.33,18.61,19.45,20.29,20.29,82.73,82.73,82.73,84.03
安次区,37227.6,15622.4,13366.8,40422.2,17992.6,16750.2,40155.9,19235.0,16750.2,39889.6,20477.4,16750.2,37059.8,20477.4,17992.6,8.58,7.87,7.15,-0.45,15.17,23.12,31.08,31.08,25.31,25.31,25.31,34.61
广阳区,34926.0,15447.0,15370.2,39222.3,16803.8,15485.4,39392.85,18122.2,15485.4,39563.4,19440.6,15485.4,37393.2,19440.6,16803.8,12.3,12.79,13.28,7.06,8.78,17.32,25.85,25.85,0.75,0.75,0.75,9.33
固安县,53052.0,20505.6,14208.0,56011.8,25568.8,23654.4,54620.1,27483.2,23654.4,53228.4,29397.6,23654.4,48722.2,29397.6,25568.8,5.58,2.96,0.33,-8.16,24.69,34.03,43.36,43.36,66.49,66.49,66.49,79.96
永清县,34538.4,13579.4,7950.6,33953.8,16977.4,16393.8,32786.1,17561.0,16393.8,31618.4,18144.6,16393.8,28713.2,18144.6,16977.4,-1.69,-5.07,-8.45,-16.87,25.02,29.32,33.62,33.62,106.2,106.2,106.2,113.54
香河县,33338.4,12857.2,9064.8,36609.0,16030.6,14753.4,36328.5,17307.8,14753.4,36048.0,18585.0,14753.4,33468.0,18585.0,16030.6,9.81,8.97,8.13,0.39,24.68,34.62,44.55,44.55,62.75,62.75,62.75,76.84
大城县,54076.2,22263.4,13464.6,48181.7,26913.0,26662.8,44859.15,27163.2,26662.8,41536.6,27413.4,26662.8,36427.8,27413.4,26913.0,-10.9,-17.04,-23.19,-32.64,20.88,22.01,23.13,23.13,98.02,98.02,98.02,99.88
文安县,57516.6,24354.8,15952.8,50968.4,28690.8,28555.8,47491.8,28825.8,28555.8,44015.2,28960.8,28555.8,38639.6,28960.8,28690.8,-11.38,-17.43,-23.47,-32.82,17.8,18.36,18.91,18.91,79.0,79.0,79.0,79.85
大厂回族自治县,11660.4,4353.0,3418.2,14267.0,5493.6,4820.4,14560.5,6166.8,4820.4,14854.0,6840.0,4820.4,14281.0,6840.0,5493.6,22.35,24.87,27.39,22.47,26.2,41.67,57.13,57.13,41.02,41.02,41.02,60.72
廊坊经济技术开发区,6465.0,5224.6,10018.2,7620.6,3097.6,2827.8,7793.7,3367.4,2827.8,7966.8,3637.2,2827.8,7567.4,3637.2,3097.6,17.87,20.55,23.23,17.05,-40.71,-35.55,-30.38,-30.38,-71.77,-71.77,-71.77,-69.08
